DRVR_ZIP,count
78521,78
76010,77
75067,70
78753,61
78666,57
78741,57
78574,55
78744,54
78130,51
79936,51
77084,50
75070,49
78550,49
75052,49
78660,48
78745,48
78758,47
78572,46
78748,46
78586,46
78542,44
78577,44
77449,44
79924,43
78201,43
78613,43
78640,42
78249,41
78233,41
76017,41
79912,41
78245,40
78210,40
78537,39
75060,39
77573,39
75056,39
75061,39
79938,38
78596,38
77584,38
78230,37
76018,37
78207,36
79928,36
78681,36
78250,36
78664,35
78501,35
79763,35
75149,34
75023,34
77379,34
79761,34
79907,33
78415,33
76016,33
75211,33
76708,33
78240,33
77539,32
76051,32
75051,32
79764,32
78228,31
77433,31
78109,31
75050,31
77083,31
78520,31
78237,31
78254,30
78641,30
77365,30
76011,30
76014,30
78213,30
78223,29
77088,29
76063,29
78247,29
78541,29
78749,28
76013,28
75080,28
77511,28
78155,28
78723,28
75104,28
77373,28
75074,28
75602,27
75007,27
78217,27
76012,27
77803,27
76549,27
75165,27
76240,27
77036,27
76116,27
77040,27
75287,26
78227,26
78729,26
75025,26
75034,26
77301,26
76201,26
75098,26
77060,26
75062,26
79701,26
79927,26
76137,25
76706,25
79762,25
76028,25
75040,25
75160,25
78573,25
79915,25
78251,25
77386,25
78704,25
78539,25
78516,25
78840,25
76705,25
77357,25
76021,24
75115,24
78221,24
75068,24
75604,24
79706,24
75006,24
77015,24
77845,24
77327,24
77039,24
78702,24
76244,24
76039,23
77459,23
76801,23
78242,23
77546,23
78216,23
78724,23
75703,23
77502,23
77471,22
78752,22
76002,22
79703,22
77073,22
78570,22
76119,22
78218,22
75093,22
78411,22
78727,22
75043,22
75071,22
78759,22
75217,22
75901,22
75455,21
75077,21
77469,21
78209,21
76049,21
77066,21
76040,21
77095,21
76542,21
77536,21
77081,21
78253,21
77355,21
77320,21
78211,20
78552,20
77521,20
75075,20
76001,20
75228,20
77429,20
75069,20
77075,20
77840,20
77093,20
77089,20
79925,20
76205,20
77388,20
75216,20
77354,20
75766,19
77506,19
78212,19
76210,19
76058,19
78617,19
75227,19
75150,19
76117,19
77072,19
77901,19
75501,19
76208,19
78589,19
76707,19
75002,19
78610,19
76020,19
75126,19
77082,19
78028,19
75935,19
78222,19
76114,19
79705,18
75801,18
78416,18
77064,18
75035,18
77489,18
76048,18
76107,18
78504,18
75119,18
75482,18
77414,18
77450,18
75028,18
78413,18
77662,18
76248,18
77520,18
77581,18
78852,18
77396,18
76131,18
76541,18
79605,18
76179,18
78229,18
77375,17
76180,17
78566,17
77503,17
77038,17
78665,17
78728,17
78418,17
76065,17
79423,17
77070,17
78602,17
76108,17
78653,17
76006,17
77306,17
77074,17
77630,17
79424,17
78654,17
75019,17
77339,16
77377,16
78801,16
75701,16
77571,16
75234,16
77535,16
78148,16
75243,16
77092,16
77304,16
77477,16
78526,16
77627,16
76522,16
77494,16
75204,16
78220,16
76133,16
77090,16
78239,16
78628,16
76112,16
78154,16
76053,16
77022,16
75110,16
77550,16
78332,16
76134,16
78006,16
79072,16
77385,16
75154,15
78363,15
75020,15
75180,15
75672,15
77002,15
78754,15
78108,15
76111,15
77086,15
79603,15
75401,15
77065,15
77590,15
77009,15
79707,15
75032,15
77080,15
77515,15
76401,15
76710,15
77044,15
77067,15
79413,15
79412,15
78721,15
79602,14
75038,14
76123,14
76115,14
75010,14
78258,14
77979,14
77479,14
77551,14
77014,14
76262,14
75220,14
78232,14
77023,14
76548,14
77338,14
78414,14
76110,14
77303,13
78578,13
75088,13
77351,13
78642,13
76227,13
77532,13
75024,13
79606,13
75662,13
78003,13
75229,13
76574,13
75042,13
77493,13
77091,13
75231,13
78644,13
77381,13
78582,13
77380,13
78238,13
76543,13
75686,13
77063,13
78380,13
77057,13
78626,13
77026,13
77801,13
75409,13
78621,13
77099,13
76643,12
79932,12
76513,12
76052,12
77016,12
75044,12
75961,12
77389,12
75474,12
76033,12
77028,12
77802,12
77808,12
77077,12
77087,12
78634,12
78063,12
75751,12
77504,12
79930,12
77049,12
75702,12
77642,12
78624,12
75081,12
78224,12
78133,12
75001,12
75048,12
75181,12
76502,12
78112,12
79416,12
78701,12
78260,12
77372,12
78404,12
78045,12
76106,12
79849,11
77302,11
75169,11
75402,11
78244,11
77904,11
75254,11
75033,11
78202,11
77316,11
76105,11
77346,11
75601,11
76209,11
78408,11
77705,11
75241,11
78041,11
77575,11
75041,11
77047,11
78620,11
75640,11
76087,11
77384,11
76088,11
77868,11
75904,11
77035,11
77356,11
75670,11
77583,11
77053,11
75142,11
76308,11
75253,11
76067,11
79407,11
77445,11
77318,11
75090,11
78121,11
78410,11
77591,11
76009,11
76712,11
79360,10
77498,10
78132,10
75495,10
79109,10
77447,10
76118,10
75941,10
77034,10
77041,10
77563,10
78023,10
77586,10
77505,10
78374,10
75208,10
78046,10
78616,10
78412,10
79065,10
77833,10
78387,10
78114,10
75964,10
75605,10
78259,10
77017,10
77033,10
77008,10
75460,10
79601,10
75650,10
75248,10
76711,10
78735,10
76148,9
77407,9
77037,9
76086,9
76273,9
75240,9
75644,9
79404,9
78717,9
75146,9
75134,9
76901,9
75494,9
76528,9
78070,9
88021,9
75647,9
76135,9
79556,9
76501,9
77340,9
79015,9
79414,9
75159,9
77437,9
79766,9
76904,9
77422,9
79934,9
75063,9
76266,9
76140,9
78861,9
76015,9
77530,9
78405,9
76036,9
75125,9
77012,9
77478,9
76247,9
77336,9
78725,9
75078,9
77045,9
77378,9
79714,9
75013,9
77062,8
77651,8
77632,8
76667,8
77069,8
77625,8
77076,8
78576,8
76207,8
75654,8
77004,8
79902,8
76132,8
75773,8
79339,8
77078,8
78703,8
76834,8
77484,8
76102,8
78559,8
77541,8
76126,8
78757,8
78584,8
78261,8
78750,8
79904,8
77612,8
75706,8
75238,8
75057,8
78252,8
79905,8
77547,8
75189,8
77706,8
78747,8
76450,8
75570,8
76903,8
76426,8
78676,8
78580,8
78629,8
76164,8
77042,8
76226,8
77051,8
78737,8
79935,8
77058,8
77331,8
75762,8
79765,8
78064,8
77020,8
78503,8
76544,8
77807,8
77382,8
79415,8
76384,8
78382,7
76092,7
75087,7
77954,7
79720,7
75236,7
77061,7
78734,7
76301,7
76104,7
76504,7
77003,7
79830,7
77418,7
77043,7
76103,7
75232,7
78219,7
79901,7
75428,7
77598,7
77055,7
78043,7
75462,7
75965,7
76022,7
77345,7
78225,7
78726,7
75704,7
77406,7
76078,7
75022,7
78746,7
77474,7
78016,7
78102,7
75771,7
75633,7
76082,7
76567,7
75103,7
77006,7
75094,7
77007,7
75951,7
77021,7
75140,6
77054,6
75210,6
75206,6
78705,6
77836,6
75693,6
78061,6
75235,6
76539,6
75803,6
78231,6
77708,6
71854,6
78645,6
77423,6
75503,6
77068,6
78226,6
79549,6
79903,6
78639,6
75230,6
77657,6
76031,6
75215,6
75167,6
75765,6
79118,6
76258,6
75652,6
78751,6
78719,6
75109,6
75082,6
77545,6
75039,6
77518,6
78611,6
75237,6
77568,6
77640,6
75209,6
75224,6
77025,6
75785,6
77566,6
76109,6
75559,6
79403,6
79363,6
76657,6
78612,6
77531,6
77328,6
79029,6
78073,5
77371,5
76120,5
75975,5
76645,5
78599,5
784180000,5
75442,5
76431,5
76442,5
78214,5
78583,5
77079,5
78739,5
76446,5
75089,5
78669,5
76458,5
75233,5
78204,5
75860,5
79364,5
76054,5
79382,5
75551,5
77461,5
75831,5
77656,5
75783,5
75789,5
75249,5
75116,5
79735,5
75657,5
78945,5
76444,5
79323,5
76272,5
78101,5
77071,5
79106,5
78040,5
77029,5
75214,5
75554,5
78538,5
78163,5
78256,5
75980,5
76449,5
77019,5
75790,5
76633,5
75956,5
78015,5
75643,5
75661,5
79007,5
76043,5
78733,5
75407,5
79835,5
75152,5
75218,5
78731,5
78025,5
76085,5
75684,5
76550,5
77024,5
77619,5
88240,5
75148,5
75065,5
76050,5
75225,5
76234,5
75009,5
77011,5
75840,5
76034,5
78059,5
79731,5
76448,5
77871,4
75219,4
75862,4
76305,4
75424,4
75855,4
75603,4
75147,4
75137,4
78124,4
77486,4
78123,4
75124,4
75021,4
78076,4
77031,4
79855,4
79311,4
79110,4
76182,4
72450,4
78164,4
77665,4
76487,4
79022,4
75979,4
75681,4
78362,4
75966,4
77013,4
77056,4
77048,4
75252,4
79070,4
77664,4
75755,4
78643,4
75757,4
75651,4
79772,4
79119,4
78065,4
75092,4
76692,4
75076,4
75754,4
77519,4
78052,4
75569,4
78343,4
75426,4
79411,4
77523,4
75491,4
75205,4
78605,4
75457,4
75203,4
75114,4
76035,4
78384,4
78264,4
75954,4
75630,4
79553,4
77085,4
75707,4
77488,4
77703,4
75946,4
75791,4
75440,4
75756,4
79836,4
79838,4
78834,4
76877,4
75223,4
77701,4
78730,4
88063,4
79045,4
77859,4
75411,4
75692,4
76008,4
75972,4
78593,4
75054,4
78368,4
77957,4
76245,4
77578,4
76430,3
76060,3
75638,3
78736,3
78373,3
76472,3
78942,3
88001,3
78941,3
78756,3
78934,3
76310,3
78652,3
76655,3
70601,3
79331,3
78118,3
76634,3
76424,3
79035,3
79373,3
75645,3
75938,3
88011,3
75752,3
79107,3
77963,3
75709,3
76230,3
76670,3
75939,3
77702,3
79782,3
76632,3
75141,3
75497,3
76084,3
75839,3
30058,3
76302,3
78009,3
75561,3
79316,3
77018,3
76255,3
79336,3
75431,3
76520,3
75974,3
76661,3
78738,3
75244,3
76354,3
77480,3
77565,3
77434,3
78113,3
77661,3
76249,3
78409,3
79036,3
77096,3
77873,3
75750,3
75758,3
75156,3
78069,3
76233,3
79756,3
75691,3
75708,3
81223,3
78370,3
78013,3
78579,3
76691,3
77879,3
70663,3
77360,3
76059,3
75639,3
78203,3
79355,3
79410,3
77713,3
77995,3
78722,3
78255,3
79821,3
77562,3
75496,3
75760,3
78248,3
784150000,3
78956,3
79108,3
78002,3
79124,3
75143,3
78959,3
79702,3
75478,3
78351,2
75461,2
75486,2
77050,2
76941,2
750810000,2
76689,2
75948,2
78944,2
75490,2
79510,2
784050000,2
79758,2
79027,2
76665,2
76380,2
76066,2
77032,2
78257,2
88008,2
78056,2
79086,2
75421,2
77659,2
77707,2
78540,2
76389,2
76693,2
74525,2
75683,2
76642,2
75770,2
76437,2
85635,2
87121,2
78160,2
79357,2
78606,2
72802,2
75247,2
75161,2
76005,2
79845,2
78569,2
76484,2
784140000,2
76271,2
88203,2
773790000,2
78953,2
78657,2
78648,2
79853,2
67203,2
77983,2
76537,2
78884,2
75937,2
76202,2
77030,2
78962,2
75127,2
76648,2
73130,2
75201,2
75833,2
78636,2
78336,2
76554,2
78119,2
77587,2
77358,2
75423,2
76823,2
78880,2
784080000,2
77335,2
76259,2
76640,2
75226,2
78557,2
76055,2
77517,2
75414,2
79511,2
76571,2
77905,2
77554,2
750880000,2
76837,2
76044,2
79359,2
75949,2
76225,2
79401,2
76579,2
76577,2
77864,2
79064,2
76664,2
78595,2
75563,2
98092,2
78215,2
72206,2
76023,2
78839,2
75135,2
79563,2
77514,2
75574,2
79371,2
79839,2
757710000,2
77564,2
75682,2
76351,2
75567,2
76861,2
75942,2
75117,2
75550,2
33317,2
784110000,2
76470,2
78633,2
77362,2
79545,2
76621,2
77534,2
76306,2
76802,2
79752,2
77482,2
75933,2
79322,2
75418,2
75852,2
78072,2
79250,2
786410000,2
76511,2
75792,2
78946,2
75926,2
75459,2
78609,2
76943,2
79916,2
75780,2
76367,2
75656,2
75454,2
78585,2
77510,2
75848,2
75925,2
78266,2
757020000,2
76682,2
75969,2
73301,2
78390,2
78564,2
78662,2
78957,2
77446,2
77455,2
775410000,2
77831,2
75172,2
77465,2
79541,2
77853,2
75631,2
75705,2
76559,2
78026,2
78659,2
78401,2
79103,2
77401,2
75558,2
76073,2
76641,2
76177,2
76534,2
77363,2
75166,2
75155,2
78833,2
79381,2
775110000,2
77837,2
784120000,2
78151,2
76557,2
78208,2
770598,1
76686,1
785866,1
71047,1
78022,1
79013,1
94610,1
30324,1
29401,1
28610,1
763060000,1
80602,1
77650,1
79313,1
7,1
75763,1
36869,1
66062,1
88337,1
77364,1
76945,1
32962,1
75930,1
757070000,1
77098,1
76821,1
79911,1
27823,1
759410000,1
82001,1
13030,1
75251,1
75304,1
73114,1
766670000,1
20020,1
79012,1
77538,1
46549,1
787040,1
35962,1
31385,1
77361,1
788610000,1
85713,1
7754,1
38133,1
58601,1
70526,1
75851,1
76077,1
93906,1
46403,1
77850,1
783740000,1
79114,1
750350000,1
84532,1
78039,1
74085,1
76827,1
767050000,1
75212,1
71052,1
73446,1
73003,1
76556,1
75436,1
98008,1
79962,1
780090000,1
32837,1
30215,1
75416,1
93454,1
71069,1
66441,1
76428,1
79979,1
75432,1
28027,1
77582,1
92316,1
73064,1
65109,1
29615,1
79032,1
70070,1
98550,1
32695,1
87723,1
754010000,1
762660000,1
75439,1
77624,1
75637,1
72712,1
76875,1
36527-0000,1
78297,1
75132,1
75861,1
7737,1
77027,1
26070,1
77865,1
77592,1
79408,1
70068,1
91761,1
75173,1
88220,1
77439,1
73037,1
78591,1
30291,1
33218,1
N0G2M0,1
85730,1
11213,1
20815,1
778360000,1
39501,1
35603,1
786480000,1
85747,1
75262,1
74902,1
78535,1
87532,1
73121,1
77420,1
77880,1
38305,1
787171,1
786640000,1
75417,1
78568,1
87144,1
38119,1
76654,1
77875,1
75481,1
79744,1
76578,1
92584,1
786210000,1
78931,1
76388,1
54040,1
71832-2922,1
75157,1
78372,1
29405,1
75608,1
60182,1
72602,1
76072,1
56633,1
17055,1
70651,1
75664,1
74464,1
53158,1
39114,1
76309,1
79512,1
80232,1
HOUSTON,1
61606,1
76101,1
88231,1
78619,1
43201,1
74146,1
785210000,1
79759,1
76018`,1
79546,1
77099-3437,1
66203,1
75571,1
85365,1
70805,1
32818,1
75376,1
71159,1
75422,1
78029,1
71854-9207,1
30052,1
33872,1
98499,1
36542,1
76146,1
73110,1
79562,1
60423,1
79547,1
76357,1
77046,1
79198,1
76285,1
75963,1
88210,1
32692,1
69301,1
37013,1
63052,1
32444,1
752110000,1
88720,1
78827,1
`77471,1
77473,1
76046,1
46901,1
71118,1
75566,1
78597,1
29161,1
28301,1
88048,1
76825,1
38701,1
75928,1
75153,1
78017,1
380407154,1
90039,1
56085,1
70634,1
7872,1
775680000,1
89521,1
53965,1
77577,1
27253,1
79040,1
78377,1
56093,1
76704,1
782270000,1
88242,1
79843,1
72901,1
78005,1
79561,1
75105,1
79906,1
79739,1
32619,1
78375,1
70605,1
79536,1
773540000,1
75468,1
72703,1
57104,1
77835,1
77881,1
75290,1
49633-9452,1
32811,1
79848,1
81137,1
78295,1
79521,1
79506,1
70815,1
778030000,1
75433,1
76569,1
79717,1
78057,1
76519,1
76856,1
71485,1
78561,1
76453,1
79530,1
76360,1
87901,1
79088,1
71834,1
76096,1
98003,1
787390000,1
78873,1
777069,1
75277,1
70785,1
75929,1
78014,1
77968,1
88000,1
97914,1
34434,1
31907,1
78359,1
93291,1
78122,1
78358,1
76635,1
28273,1
79347,1
79356,1
78512,1
784130000,1
70707,1
6201,1
72015,1
48111,1
76690,1
72753,1
73018,1
76366,1
78011,1
78947,1
92646,1
75489,1
75246,1
762620000,1
750340000,1
77290,1
70668,1
36693,1
11372,1
L4E 3W8,1
72019,1
62626,1
78379,1
79501,1
18976,1
78307,1
774220000,1
85143,1
78921,1
797030000,1
70659,1
19111,1
79063,1
38125,1
784100000,1
79237,1
27455-2340,1
78940,1
78282,1
33180,1
775150000,1
79343,1
75841,1
79712,1
79734,1
778790000,1
778450000,1
76454,1
70816,1
71112,1
92117,1
75943,1
33055,1
54848,1
99218,1
96826,1
34429,1
20874-2417,1
79532,1
762010000,1
98356-9601,1
75412,1
47670,1
78055,1
75480,1
89131,1
76624,1
752160000,1
77432,1
79261,1
78635,1
73287,1
89503,1
74734,1
64870,1
79241,1
36507,1
84302,1
76627,1
76620,1
60503,1
34715,1
78342,1
77305,1
76530,1
760490000,1
88081,1
716132,1
88790,1
78205,1
60178,1
72855,1
71837-8700,1
75931,1
72372,1
76068,1
36551,1
76064,1
765220000,1
21114-2552,1
290638380,1
70607,1
77311,1
34746,1
76155,1
73020,1
33135,1
31909,1
36330,1
786650000,1
76518,1
32250,1
76093,1
11212,1
78115,1
84097,1
72837,1
L6R 1Z6,1
15717,1
19026,1
76950,1
73034,1
67869,1
79922,1
75471,1
79083,1
74701,1
38138,1
76070,1
76679,1
78655,1
74743,1
56039,1
754820000,1
88415,1
44129,1
74834,1
59718,1
88007,1
46234,1
74735-0000,1
757040000,1
78732,1
65738,1
30726,1
73160,1
76780,1
43026,1
70341,1
33176,1
70454,1
37211,1
78883,1
65775,1
77962,1
76136,1
80027,1
49112,1
58704,1
79718,1
78402,1
74801,1
13830,1
76638,1
88791,1
67572,1
79402,1
77991,1
50702,1
75008,1
78235,1
33304,1
65803,1
81082,1
63110,1
78066,1
39577,1
74731,1
78546,1
75321,1
76433,1
77435,1
78403,1
78881,1
77820,1
71263,1
78345,1
78853,1
79104,1
73448,1
87105,1
72143,1
89123,1
87124,1
40383,1
778010000,1
79567,1
32102,1
78417,1
78383,1
79005,1
784040000,1
71865,1
30075,1
76196,1
63740,1
75012,1
76443,1
71078,1
77615,1
71037,1
76684,1
74008,1
78406,1
08807,1
78661,1
76558,1
44320,1
46341,1
75410,1
32547,1
93635,1
79102,1
32953,1
76751,1
88352,1
76701,1
88401,1
55428,1
71449,1
86153,1
73107,1
77594,1
77933,1
79370,1
760100000,1
33469,1
98258,1
53132,1
77466,1
73069,1
779950000,1
76527,1
765040000,1
76828,1
78594,1
49021,1
67666,1
75524,1
79406,1
80537,1
77622,1
40502,1
88260,1
80631,1
75255,1
79366,1
