VEH_MAKE_ID,count
FORD,19205
CHEVROLET,16860
TOYOTA,11822
DODGE,7935
NISSAN,7332
HONDA,7189
GMC,3147
JEEP,2937
HYUNDAI,2678
KIA,2111
FREIGHTLINER,1825
CHRYSLER,1692
MAZDA,1669
LEXUS,1548
VOLKSWAGEN,1407
BMW,1132
MERCEDES-BENZ,1128
PONTIAC,1096
BUICK,1080
CADILLAC,1007
PETERBILT,1006
ACURA,977
MITSUBISHI,935
KENWORTH,879
VOLVO,869
INTERNATIONAL,857
INFINITI,828
LINCOLN,741
MERCURY,652
SATURN,603
SUBARU,485
MACK,409
AUDI,392
ISUZU,302
RAM,231
OLDSMOBILE,212
UNKNOWN,212
SUZUKI,205
LAND ROVER,184
MINI,183
PORSCHE,113
HUMMER,109
HARLEY-DAVIDSON,107
JAGUAR,97
NA,70
FIAT,65
HINO,64
PLYMOUTH,51
WESTERN STAR,44
SAAB,39
STERLING,36
KAWASAKI,27
SMART,25
MCI (LES AUTO BUS),18
JOHN DEERE,18
AUTOCAR,18
NORTH AMERICAN BUS,16
REQUIRES INTERPRETATION,15
YAMAHA,15
ELDORADO,14
PIERCE,12
TESLA,12
GEO,12
OTHER (EXPLAIN IN NARRATIVE),11
GILLIG,10
GM,10
NISSAN DIESEL,9
INTERNATIONAL TRAILER CORP,9
ALL OTHER MAKES,8
INTERMOUNTAIN WHOLE SALE INC,8
VAN HOOL,6
NEW FLYER,6
AUTOCAR LLC,5
MOTOR COACH MND INC,4
WHITEGMC,4
CHALLENGE-COOK BROTHERS INC,4
WESTERN TRUCK & TRAILER CO,4
OTTAWA,4
MAC LTT,4
AMERICAN MOTORS,4
MCLAREN,3
IC CORPORATION,3
DAEWOO,3
PIAGGIO,3
VICTORY,3
AM GENERAL,3
WHITE,2
POLARIS,2
BENTLEY,2
KYMCO,2
BUGATTI,2
WINNEBAGO,2
SPARTA MANUFACTURING CORP,2
DUCATI,2
MASERATI,2
WORKHORSE,2
DATSUN,1
RENAULT,1
ULTRA LITE MFG,1
